X	Y
0.000	1.000000
8.232	0.826399
16.464	0.586354
24.696	0.425813
32.928	0.328741
41.160	0.263098
49.392	0.200283
57.625	0.145092
65.857	0.092659
74.089	0.055793
82.321	0.028855
90.553	0.018559
98.785	0.005649
107.017	0.005292
115.249	0.010754
123.481	0.012170
131.713	0.009347
139.945	0.006069
148.177	0.007535
156.409	0.008125
164.641	0.005047
172.874	0.006000
181.106	0.009217
189.338	0.007246
197.570	0.007454
205.802	0.006029
214.034	0.003683
222.266	0.008447
230.498	0.002966
238.730	0.002380
246.962	0.004863
255.194	0.005883
263.426	0.008839
271.658	0.004881
279.891	0.003354
288.123	0.001446
296.355	0.002224
304.587	0.004875
312.819	0.001833
321.051	0.002740
329.283	0.002899
337.515	0.002632
345.747	0.002859
353.979	0.001712
362.211	0.001335
370.443	0.001791
378.675	0.001412
386.908	0.001046
395.140	0.001234
403.372	0.001406
411.604	0.001025
419.836	0.000485
428.068	0.000117
436.300	0.000415
444.532	0.000666
452.764	0.001062
460.996	0.001393
469.228	0.001477
477.460	0.001305
485.692	0.001009
493.924	0.000653
502.157	0.000406
510.389	0.000250
518.621	0.000275
