X	Y
0.000	1.000000
8.232	0.888140
16.464	0.749818
24.696	0.628987
32.928	0.519798
41.160	0.410757
49.392	0.298618
57.625	0.198323
65.857	0.118780
74.089	0.064103
82.321	0.031319
90.553	0.016576
98.785	0.010463
107.017	0.015781
115.249	0.020518
123.481	0.019415
131.713	0.014752
139.945	0.010652
148.177	0.013255
156.409	0.015495
164.641	0.015845
172.874	0.011407
181.106	0.011362
189.338	0.011728
197.570	0.009567
205.802	0.005749
214.034	0.007204
222.266	0.006080
230.498	0.005342
238.730	0.006576
246.962	0.010161
255.194	0.008151
263.426	0.007263
271.658	0.005881
279.891	0.007137
288.123	0.003105
296.355	0.002364
304.587	0.004786
312.819	0.004841
321.051	0.003850
329.283	0.004888
337.515	0.005145
345.747	0.004389
353.979	0.003636
362.211	0.004012
370.443	0.003480
378.675	0.002977
386.908	0.002533
395.140	0.002717
403.372	0.002795
411.604	0.002492
419.836	0.001876
428.068	0.001319
436.300	0.000992
444.532	0.000829
452.764	0.001217
460.996	0.001678
469.228	0.002000
477.460	0.002003
485.692	0.001749
493.924	0.001401
502.157	0.001117
510.389	0.001082
518.621	0.001016
