Beleuchtungsstärke vs Winkelposition, Messreihe #1
Winkelposition ( rad )	Beleuchtungsstärke ( lux )
0,000	26,3
0,000	26,7
0,000	26,5
0,000	26,5
0,000	26,6
0,000	26,7
0,000	26,6
0,000	26,6
0,000	26,6
0,000	26,7
0,000	26,6
0,000	26,8
0,000	26,5
0,000	26,6
0,000	26,7
0,000	26,7
0,000	26,6
0,000	26,4
0,000	26,5
0,000	26,6
0,000	26,5
0,000	26,5
0,000	26,3
0,000	26,6
0,000	26,5
0,000	26,5
0,000	26,3
0,000	26,5
0,000	26,6
0,000	26,4
0,000	26,4
0,000	26,6
0,000	26,6
0,000	26,6
0,000	26,5
0,000	26,4
0,000	26,6
0,000	26,6
0,000	26,7
0,000	26,5
0,000	26,9
0,000	26,7
0,000	26,6
0,000	26,8
0,000	26,9
0,000	27,0
0,000	26,8
0,000	26,4
0,000	26,2
0,000	26,3
0,000	26,3
0,000	26,1
0,002	25,8
0,002	26,1
0,002	25,9
0,003	25,7
0,003	25,6
0,003	25,5
0,005	25,5
0,005	25,5
0,005	25,2
0,006	25,1
0,006	25,1
0,008	25,0
0,008	24,8
0,009	24,6
0,009	24,7
0,011	24,6
0,011	24,3
0,013	24,5
0,014	24,4
0,014	24,2
0,016	24,1
0,017	24,3
0,019	24,1
0,020	23,9
0,022	24,1
0,024	24,0
0,025	23,8
0,027	23,9
0,027	23,9
0,028	23,9
0,030	23,6
0,031	23,9
0,031	23,9
0,033	23,7
0,035	23,8
0,035	23,9
0,036	23,8
0,036	23,6
0,036	23,8
0,038	23,8
0,038	23,6
0,039	23,8
0,039	23,8
0,041	23,6
0,041	23,5
0,041	23,7
0,041	23,7
0,042	23,6
0,042	23,9
0,044	23,7
0,044	23,6
0,046	23,5
0,046	23,8
0,046	23,6
0,047	23,6
0,047	23,7
0,049	23,7
0,050	23,5
0,050	23,5
0,050	23,7
0,050	23,6
0,052	23,5
0,052	23,6
0,053	23,6
0,053	23,5
0,053	23,4
0,055	23,6
0,055	23,6
0,055	23,4
0,057	23,6
0,057	23,5
0,058	23,5
0,058	23,3
0,060	23,5
0,060	23,4
0,061	23,3
0,061	23,5
0,063	23,4
0,063	23,2
0,064	23,1
0,066	23,3
0,068	23,2
0,069	23,0
0,069	23,2
0,071	23,1
0,071	23,1
0,072	23,0
0,072	23,2
0,074	23,0
0,074	22,9
0,075	23,2
0,075	23,1
0,077	22,9
0,077	23,1
0,079	23,1
0,079	23,0
0,079	22,9
0,079	23,1
0,080	23,0
0,080	22,9
0,082	23,1
0,082	23,1
0,082	23,1
0,083	22,9
0,083	23,1
0,085	23,1
0,085	23,0
0,085	23,2
0,086	23,2
0,086	23,1
0,086	23,1
0,088	23,3
0,088	23,3
0,088	23,2
0,090	23,4
0,090	23,5
0,091	23,4
0,091	23,4
0,091	23,6
0,091	23,6
0,093	23,5
0,093	23,8
0,094	24,0
0,094	24,0
0,094	23,9
0,096	24,2
0,096	24,3
0,097	24,3
0,097	24,5
0,097	24,7
0,099	24,8
0,099	24,7
0,099	25,1
0,101	25,0
0,101	25,1
0,102	25,3
0,102	25,6
0,102	25,6
0,102	25,7
0,104	25,8
0,104	26,1
0,104	26,1
0,104	26,1
0,104	26,1
0,105	26,2
0,105	26,6
0,105	26,7
0,107	26,8
0,107	27,0
0,108	27,3
0,108	27,7
0,110	27,8
0,110	27,9
0,110	28,2
0,112	28,1
0,112	28,3
0,112	28,5
0,112	28,6
0,112	28,9
0,113	28,9
0,113	28,8
0,113	29,0
0,113	29,3
0,113	29,5
0,113	29,6
0,115	29,5
0,115	29,8
0,115	30,0
0,115	30,3
0,115	30,4
0,116	30,5
0,116	30,9
0,118	31,0
0,118	31,2
0,118	31,7
0,118	32,0
0,119	32,3
0,119	32,4
0,121	32,8
0,121	33,1
0,121	33,5
0,123	33,5
0,123	33,6
0,123	33,9
0,123	34,0
0,123	34,0
0,123	34,0
0,123	34,4
0,123	34,4
0,124	34,5
0,124	34,6
0,124	34,8
0,124	34,8
0,124	34,9
0,124	35,0
0,124	35,2
0,124	35,4
0,126	35,6
0,126	35,7
0,126	36,1
0,127	36,4
0,127	36,4
0,127	36,4
0,127	36,8
0,127	36,9
0,127	37,1
0,129	37,2
0,129	37,5
0,129	37,8
0,129	37,9
0,129	37,9
0,130	38,2
0,130	38,5
0,130	38,7
0,130	38,7
0,130	39,1
0,130	39,0
0,130	39,2
0,132	39,5
0,132	39,7
0,132	39,8
0,132	39,7
0,132	39,5
0,132	39,9
0,132	39,9
0,132	40,1
0,132	40,2
0,132	40,4
0,134	40,3
0,134	40,5
0,134	40,6
0,134	40,9
0,134	41,0
0,134	41,1
0,134	41,0
0,134	41,2
0,134	41,5
0,135	41,4
0,135	41,8
0,135	42,0
0,135	42,2
0,135	42,2
0,135	42,2
0,135	42,5
0,137	42,5
0,137	42,7
0,137	42,8
0,137	43,0
0,137	42,9
0,137	42,9
0,137	43,1
0,137	43,2
0,137	43,3
0,137	43,2
0,137	43,4
0,137	43,5
0,138	43,6
0,138	43,7
0,138	44,0
0,138	44,1
0,138	44,0
0,138	44,2
0,138	44,5
