Beleuchtungsstärke vs Winkelposition, Messreihe #1
Winkelposition ( rad )	Beleuchtungsstärke ( lux )
0,002	3,6
0,002	3,7
0,002	3,8
0,002	3,6
0,002	3,6
0,002	3,8
0,002	3,7
0,002	3,6
0,002	3,8
0,002	3,7
0,002	3,6
0,002	3,8
0,002	3,7
0,002	3,6
0,002	3,8
0,002	3,7
0,002	3,6
0,002	3,8
0,002	3,7
0,003	3,6
0,003	3,9
0,003	3,8
0,003	3,6
0,003	3,6
0,003	3,8
0,003	3,7
0,002	3,6
0,000	3,8
-0,002	3,7
-0,003	3,6
-0,003	3,8
-0,003	3,7
-0,005	3,6
-0,006	3,8
-0,011	3,7
-0,014	3,6
-0,016	3,8
-0,014	3,7
-0,014	3,6
-0,005	3,8
0,024	3,7
0,061	3,6
0,113	3,8
0,148	3,8
0,146	3,6
0,096	3,6
0,017	3,8
-0,035	3,7
-0,053	3,6
-0,025	3,8
0,031	3,7
0,039	3,6
0,017	3,8
-0,009	3,7
-0,035	3,6
-0,020	3,8
0,017	3,7
0,033	3,6
0,030	3,8
0,005	3,7
-0,022	3,6
-0,017	3,9
0,002	3,8
0,020	3,6
0,025	3,6
0,008	3,8
-0,011	3,7
-0,013	3,6
-0,002	3,8
0,014	3,7
0,019	3,6
0,008	3,8
-0,005	3,7
-0,009	3,6
-0,003	3,8
0,009	3,7
0,014	3,6
0,009	3,9
-0,002	3,8
-0,011	3,6
-0,013	3,6
-0,014	3,8
-0,017	3,7
-0,019	3,6
-0,020	3,8
-0,017	3,7
-0,011	3,6
-0,009	3,8
-0,009	3,7
-0,011	3,6
-0,013	3,8
-0,013	3,7
-0,013	3,6
-0,013	3,9
-0,013	3,7
-0,013	3,6
-0,013	3,9
-0,013	3,8
-0,013	3,6
-0,013	3,9
-0,013	3,8
-0,013	3,7
-0,013	3,6
-0,013	3,8
-0,013	3,7
-0,016	3,6
-0,016	3,8
-0,016	3,7
-0,016	3,6
-0,016	3,8
-0,016	3,7
