Beleuchtungsstärke vs Winkelposition, Messreihe #1
Winkelposition ( rad )	Beleuchtungsstärke ( lux )
-0,002	3,7
-0,002	3,5
-0,002	3,7
-0,002	3,7
-0,002	3,6
-0,002	3,7
-0,002	3,7
-0,003	3,6
-0,005	3,7
-0,006	3,7
-0,006	3,6
-0,006	3,7
-0,005	3,7
-0,002	3,6
0,000	3,7
0,003	3,7
0,005	3,7
0,008	3,5
0,009	3,7
0,011	3,7
0,011	3,6
0,011	3,7
0,011	3,7
0,011	3,6
0,011	3,7
0,013	3,7
0,013	3,6
0,014	3,7
0,014	3,7
0,014	3,6
0,014	3,7
0,014	3,7
0,014	3,6
0,014	3,7
0,016	3,7
0,016	3,6
0,017	3,5
0,017	3,7
0,019	3,7
0,020	3,5
0,022	3,7
0,025	3,7
0,027	3,6
0,028	3,7
0,028	3,7
0,028	3,6
0,028	3,7
0,030	3,7
0,030	3,6
0,031	3,7
0,031	3,7
0,031	3,6
0,031	3,5
0,031	3,7
0,031	3,7
0,031	3,5
0,025	3,7
0,013	3,7
-0,003	3,6
-0,020	3,7
-0,033	3,7
-0,033	3,6
-0,017	3,7
0,008	3,7
0,030	3,6
0,053	3,7
0,082	3,7
0,108	3,6
0,115	3,7
0,094	3,7
0,057	3,7
0,019	3,7
-0,002	3,7
0,002	3,7
0,020	3,5
0,038	3,7
0,041	3,7
0,028	3,6
0,011	3,7
0,000	3,7
-0,002	3,6
0,005	3,7
0,013	3,7
0,013	3,6
0,011	3,7
0,006	3,7
0,006	3,6
0,013	3,7
0,022	3,7
0,030	3,7
0,031	3,5
0,025	3,7
0,014	3,7
0,006	3,6
0,005	3,7
0,008	3,7
0,013	3,6
0,013	3,7
0,011	3,7
0,006	3,6
0,006	3,7
0,006	3,7
0,011	3,6
0,016	3,7
0,017	3,7
0,019	3,7
0,019	3,5
0,020	3,7
0,025	3,7
0,031	3,6
0,035	3,7
0,038	3,7
0,038	3,6
0,038	3,7
0,041	3,7
0,044	3,6
0,050	3,7
0,055	3,7
0,058	3,7
0,060	3,7
0,063	3,7
0,064	3,7
0,071	3,5
0,077	3,7
0,083	3,7
0,088	3,6
0,093	3,7
0,094	3,7
0,096	3,6
0,099	3,7
0,104	3,7
0,107	3,6
0,110	3,7
0,113	3,7
0,116	3,6
0,118	3,7
0,121	3,7
0,124	3,7
0,127	3,5
0,130	3,7
0,134	3,7
0,137	3,6
0,138	3,7
0,141	3,7
0,145	3,6
0,149	3,7
0,152	3,7
0,154	3,6
0,156	3,7
0,157	3,7
0,160	3,6
0,163	3,7
0,168	3,7
0,171	3,7
0,173	3,7
0,174	3,7
0,178	3,7
0,179	3,6
0,182	3,7
0,185	3,7
0,187	3,6
0,188	3,7
0,188	3,7
0,188	3,6
0,190	3,7
0,192	3,7
0,193	3,6
0,196	3,7
0,199	3,7
0,203	3,6
0,204	3,7
0,206	3,7
0,207	3,7
0,207	3,5
0,207	3,7
0,207	3,7
0,209	3,6
0,212	3,7
0,214	3,7
0,214	3,6
0,214	3,7
0,212	3,7
0,209	3,6
0,206	3,7
0,206	3,7
0,206	3,7
0,206	3,7
0,206	3,7
0,206	3,7
0,206	3,5
0,206	3,7
0,206	3,7
0,207	3,6
0,209	3,7
0,210	3,7
0,210	3,6
0,212	3,7
0,212	3,7
0,214	3,6
0,215	3,7
0,217	3,7
0,218	3,6
0,220	3,7
0,221	3,7
0,223	3,7
0,225	3,6
0,226	3,7
0,229	3,7
0,231	3,6
0,234	3,7
0,237	3,7
0,240	3,6
0,243	3,7
0,248	3,7
0,253	3,6
0,256	3,7
0,261	3,7
0,265	3,6
0,269	3,7
0,272	3,7
0,275	3,7
0,278	3,6
0,281	3,7
0,284	3,7
0,286	3,6
0,289	3,7
0,291	3,7
0,294	3,6
0,297	3,7
0,298	3,7
0,300	3,6
0,302	3,7
0,305	3,7
0,308	3,6
0,313	3,7
0,319	3,7
0,322	3,7
0,325	3,7
0,327	3,7
0,328	3,7
0,331	3,6
0,336	3,7
0,339	3,7
0,342	3,6
0,346	3,7
0,346	3,7
0,347	3,6
0,350	3,7
0,352	3,7
0,355	3,6
0,357	3,7
0,358	3,7
0,360	3,6
0,363	3,7
0,368	3,7
0,371	3,7
0,374	3,6
0,377	3,7
0,379	3,7
0,382	3,6
0,386	3,7
0,390	3,7
0,394	3,6
0,397	3,7
0,399	3,7
0,399	3,6
0,399	3,7
0,401	3,7
0,401	3,6
0,401	3,7
0,401	3,7
0,401	3,7
0,401	3,6
0,401	3,7
0,401	3,7
0,401	3,6
0,401	3,7
0,401	3,7
0,401	3,6
0,401	3,7
0,401	3,7
0,399	3,6
0,399	3,7
0,399	3,7
0,399	3,6
0,399	3,7
0,399	3,7
0,399	3,7
0,399	3,6
0,401	3,7
0,404	3,7
0,404	3,6
0,405	3,7
0,407	3,7
0,408	3,6
0,410	3,7
0,412	3,7
0,415	3,6
0,416	3,7
0,416	3,7
0,419	3,6
0,419	3,7
0,421	3,7
0,423	3,6
0,424	3,6
0,426	3,7
0,427	3,7
0,430	3,6
0,434	3,7
0,437	3,7
0,441	3,5
0,445	3,7
0,449	3,7
0,454	3,6
0,459	3,7
0,465	3,7
0,471	3,6
0,476	3,7
0,481	3,7
0,484	3,6
0,487	3,6
0,490	3,7
0,492	3,6
0,495	3,6
0,498	3,7
0,500	3,7
0,501	3,6
0,503	3,7
0,504	3,7
0,507	3,6
0,514	3,7
0,518	3,7
0,523	3,6
0,526	3,7
0,528	3,7
0,529	3,6
0,531	3,7
0,536	3,7
0,539	3,6
0,542	3,6
0,545	3,7
0,547	3,7
0,548	3,6
0,550	3,7
0,553	3,7
0,556	3,5
0,559	3,7
0,561	3,7
0,564	3,6
0,565	3,7
0,569	3,7
0,572	3,6
0,576	3,7
0,580	3,7
0,583	3,6
0,586	3,6
0,587	3,7
0,589	3,6
0,589	3,6
0,591	3,7
0,591	3,7
0,592	3,6
0,592	3,7
0,592	3,7
0,592	3,5
0,592	3,7
0,594	3,7
0,597	3,6
0,600	3,6
0,602	3,7
0,602	3,6
0,602	3,6
0,602	3,7
0,602	3,6
0,602	3,6
0,602	3,7
0,605	3,6
0,606	3,5
0,608	3,7
0,608	3,6
0,608	3,5
0,608	3,6
0,608	3,6
0,609	3,5
0,609	3,6
0,609	3,7
0,609	3,6
0,611	3,6
0,611	3,7
0,613	3,6
0,613	3,6
0,614	3,6
0,616	3,6
0,617	3,5
0,619	3,6
0,619	3,6
0,620	3,5
0,620	3,6
0,622	3,6
0,622	3,5
0,625	3,6
0,627	3,7
0,630	3,6
0,633	3,6
0,638	3,7
0,641	3,6
0,644	3,6
0,647	3,7
0,650	3,6
0,655	3,5
0,660	3,7
0,664	3,6
0,668	3,5
0,672	3,6
0,675	3,7
0,677	3,6
0,680	3,6
0,683	3,7
0,686	3,6
0,691	3,6
0,693	3,7
0,696	3,6
0,699	3,6
0,702	3,7
0,707	3,6
0,713	3,6
0,716	3,7
0,721	3,7
0,724	3,6
0,726	3,7
0,729	3,7
0,732	3,6
0,735	3,7
0,738	3,7
0,741	3,6
0,745	3,6
0,746	3,7
0,749	3,6
0,752	3,6
0,754	3,7
0,757	3,7
0,759	3,6
0,760	3,7
0,762	3,7
0,767	3,6
0,770	3,7
0,773	3,7
0,776	3,6
0,779	3,7
0,782	3,7
0,785	3,6
0,789	3,7
0,789	3,7
0,789	3,6
0,789	3,6
0,789	3,7
0,789	3,6
0,787	3,6
0,787	3,7
0,787	3,7
0,787	3,6
0,789	3,7
0,792	3,7
0,795	3,6
0,796	3,7
0,798	3,7
0,800	3,6
0,800	3,7
0,801	3,7
0,803	3,6
0,806	3,6
0,807	3,7
0,809	3,6
0,809	3,6
0,809	3,7
0,809	3,6
0,809	3,6
0,809	3,7
0,809	3,7
0,809	3,5
0,809	3,7
0,809	3,7
0,809	3,6
0,809	3,6
0,809	3,7
0,809	3,6
0,811	3,6
0,811	3,7
0,812	3,6
0,814	3,6
0,814	3,7
0,814	3,6
0,814	3,6
0,814	3,7
0,815	3,7
0,815	3,5
0,817	3,7
0,818	3,7
0,820	3,6
0,822	3,7
0,823	3,7
0,825	3,6
0,826	3,7
0,831	3,7
0,836	3,6
0,842	3,6
0,847	3,7
0,850	3,6
0,853	3,6
0,856	3,7
0,861	3,7
0,866	3,6
0,869	3,7
0,873	3,7
0,875	3,6
0,878	3,7
0,880	3,7
0,884	3,6
0,888	3,7
0,892	3,7
0,894	3,6
0,897	3,7
0,898	3,7
0,902	3,6
0,905	3,6
0,908	3,7
0,911	3,7
0,914	3,6
0,917	3,7
0,920	3,7
0,924	3,6
0,927	3,7
0,928	3,7
0,931	3,6
0,935	3,7
0,938	3,7
0,939	3,6
0,942	3,7
0,946	3,7
0,949	3,6
0,952	3,7
0,953	3,7
0,955	3,6
0,957	3,6
0,960	3,7
0,963	3,7
0,964	3,6
0,968	3,7
0,968	3,7
0,969	3,6
0,969	3,7
0,971	3,7
0,972	3,6
0,974	3,7
0,975	3,7
0,979	3,6
0,980	3,7
0,982	3,7
0,983	3,6
0,985	3,6
0,988	3,7
0,991	3,7
0,996	3,6
