Beleuchtungsstärke vs Winkelposition, Messreihe #1
Winkelposition ( rad )	Beleuchtungsstärke ( lux )
-0,002	4,5
-0,002	4,4
-0,002	4,6
-0,002	4,5
-0,002	4,4
-0,002	4,6
0,000	4,6
0,000	4,5
0,000	4,7
0,000	4,6
0,000	4,5
0,000	4,7
0,000	4,7
0,000	4,5
0,000	4,8
0,000	4,7
0,000	4,5
0,000	4,7
0,000	4,7
0,000	4,5
0,000	4,7
0,000	4,6
0,000	4,5
0,000	4,7
0,000	4,6
0,000	4,4
0,000	4,6
0,000	4,5
0,000	4,4
0,000	4,5
0,000	4,5
0,000	4,3
0,000	4,4
0,000	4,4
0,000	4,2
0,000	4,3
0,000	4,3
0,000	4,1
0,000	4,3
0,000	4,3
0,000	4,1
0,000	4,3
0,000	4,3
0,000	4,2
0,000	4,3
0,000	4,3
0,000	4,2
0,000	4,3
0,000	4,3
0,000	4,2
-0,002	4,2
-0,002	4,3
-0,002	4,2
-0,002	4,2
-0,002	4,3
-0,002	4,2
-0,002	4,1
-0,002	4,3
-0,002	4,2
-0,002	4,1
-0,002	4,3
-0,002	4,2
-0,002	4,1
-0,002	4,3
-0,002	4,2
-0,002	4,1
-0,002	4,3
-0,002	4,3
-0,002	4,1
-0,002	4,3
-0,002	4,3
-0,002	4,1
-0,002	4,3
-0,002	4,3
-0,002	4,2
-0,002	4,3
-0,002	4,3
-0,002	4,2
-0,002	4,3
-0,002	4,3
-0,002	4,2
-0,002	4,3
-0,002	4,3
-0,002	4,2
-0,002	4,3
-0,002	4,3
-0,002	4,2
-0,002	4,3
-0,002	4,3
-0,002	4,2
-0,002	4,3
-0,002	4,3
-0,002	4,2
-0,002	4,2
-0,002	4,3
-0,002	4,1
-0,002	4,0
-0,002	4,2
-0,002	4,1
-0,002	4,0
-0,002	4,2
-0,002	4,1
-0,002	4,0
-0,002	4,2
-0,002	4,2
-0,002	4,0
-0,002	4,2
-0,002	4,2
-0,002	4,1
-0,002	4,2
-0,002	4,2
-0,002	4,1
-0,002	4,2
-0,002	4,2
-0,002	4,1
-0,002	4,2
-0,002	4,2
-0,002	4,1
-0,002	4,2
-0,002	4,2
-0,002	4,1
-0,002	4,2
-0,002	4,2
-0,002	4,1
-0,002	4,2
-0,002	4,2
-0,002	4,1
-0,002	4,0
-0,002	4,2
