p	V
149.810000	227.033898
151.620000	225.428714
153.800000	223.544367
155.610000	221.799601
157.810000	220.054835
160.030000	218.379860
161.930000	216.774676
164.150000	215.099701
166.380000	213.564307
168.090000	212.028913
170.260000	210.633101
172.350000	209.307079
174.110000	207.981057
176.180000	206.794616
178.270000	205.538385
179.940000	204.351944
181.860000	203.235294
183.320000	202.258225
185.100000	201.281157
186.860000	200.373878
188.280000	199.606181
189.840000	198.838485
191.230000	198.210369
192.510000	197.652044
193.680000	197.093719
195.030000	196.674975
195.900000	196.256231
196.960000	195.907278
197.870000	195.558325
198.590000	195.348953
199.340000	195.279163
199.760000	195.139581
200.240000	195.000000
200.660000	195.000000
201.010000	195.139581
201.120000	195.348953
201.260000	195.558325
201.230000	195.767697
201.210000	196.256231
201.040000	196.674975
200.790000	197.093719
200.300000	197.652044
199.890000	198.349950
199.390000	198.978066
198.720000	199.745763
197.930000	200.653041
197.210000	201.490528
196.190000	202.467597
195.330000	203.444666
194.200000	204.561316
193.040000	205.677966
192.040000	206.864407
190.760000	208.050847
189.430000	209.376869
188.280000	210.702891
186.700000	212.238285
185.130000	213.773679
183.880000	215.448654
182.100000	216.984048
180.690000	218.728814
179.040000	220.333998
177.120000	222.078764
175.610000	223.893320
173.650000	225.707876
171.950000	227.731805
170.510000	229.546361
168.570000	231.570289
166.580000	233.524427
165.220000	235.618146
163.860000	237.711864
161.320000	239.875374
159.130000	242.038883
157.010000	244.272183
155.450000	246.365902
153.480000	248.668993
150.820000	250.832502
149.190000	253.135593
146.910000	255.438684
145.040000	257.741775
143.430000	260.044865
141.620000	262.347956
139.460000	264.790628
137.920000	267.093719
135.890000	269.327019
134.030000	271.630110
132.420000	273.933200
130.560000	276.236291
129.000000	278.539382
127.330000	280.772682
125.550000	283.075773
124.350000	285.378863
122.600000	287.542373
121.080000	289.775673
119.860000	291.939182
118.200000	294.032901
117.050000	296.126620
115.720000	298.220339
114.310000	300.244267
113.210000	302.268195
111.910000	304.082752
110.620000	306.106680
109.640000	307.921236
108.480000	309.735793
107.370000	311.480558
106.480000	313.085743
105.290000	314.760718
104.620000	316.296112
103.650000	317.831505
102.780000	319.366899
102.110000	320.762712
101.310000	322.088734
100.580000	323.484546
99.990000	324.740778
99.350000	325.927218
98.780000	327.043868
98.120000	328.090728
97.490000	328.998006
97.090000	329.905284
96.550000	330.672981
96.010000	331.440678
95.630000	332.068794
95.220000	332.696909
94.870000	333.255234
94.480000	333.743769
94.200000	334.022931
93.920000	334.371884
93.650000	334.581256
93.420000	334.790628
93.260000	334.930209
93.130000	335.000000
92.970000	335.000000
92.880000	335.000000
92.760000	334.790628
92.680000	334.720837
92.640000	334.371884
92.620000	334.022931
92.650000	333.604187
92.700000	333.045862
92.740000	332.487537
92.880000	331.859422
92.980000	331.091725
93.130000	330.324028
93.430000	329.416750
93.580000	328.579262
93.870000	327.602193
94.160000	326.485543
94.480000	325.299103
94.780000	324.042871
95.100000	322.856431
95.460000	321.530409
95.870000	320.134596
96.290000	318.668993
96.620000	317.133599
97.100000	315.598205
97.620000	313.993021
98.080000	312.318046
98.620000	310.712861
99.170000	308.968096
99.850000	307.083749
100.500000	305.199402
101.130000	303.245264
101.920000	301.291127
102.680000	299.267198
103.410000	297.313061
104.310000	295.219342
104.980000	293.125623
105.970000	291.101695
106.970000	289.007976
107.790000	286.914257
108.910000	284.611167
110.030000	282.308076
110.900000	280.074776
112.160000	277.771685
113.440000	275.468594
114.530000	273.165503
115.830000	270.862413
117.000000	268.698903
118.370000	266.395813
119.800000	264.092722
121.110000	261.719840
122.750000	259.416750
124.350000	257.113659
125.670000	254.810568
127.410000	252.507478
128.870000	250.204387
130.770000	247.971087
132.700000	245.807577
134.240000	243.574277
136.100000	241.410768
138.240000	239.317049
139.730000	237.153539
141.880000	234.920239
143.880000	232.966102
145.580000	231.011964
147.740000	228.988036
149.440000	227.033898
151.630000	225.149551
153.830000	223.334995
155.630000	221.590229
157.960000	219.775673
160.090000	218.170489
162.000000	216.495513
164.280000	214.960120
166.490000	213.354935
168.200000	211.819541
170.320000	210.353938
172.540000	209.097707
174.140000	207.841476
176.260000	206.515454
178.320000	205.468594
179.830000	204.212363
181.840000	203.165503
183.420000	202.188435
185.200000	201.141575
187.030000	200.304088
188.450000	199.536391
190.020000	198.768694
191.360000	198.070788
192.600000	197.582253
193.850000	197.023928
195.000000	196.535394
195.950000	196.116650
196.870000	195.767697
197.710000	195.558325
198.520000	195.348953
199.260000	195.279163
199.670000	195.139581
200.310000	195.000000
200.660000	195.000000
200.910000	195.139581
201.150000	195.348953
201.320000	195.558325
201.260000	195.907278
201.160000	196.256231
201.040000	196.674975
200.700000	197.233300
200.280000	197.791625
199.820000	198.419741
199.220000	199.117647
198.510000	199.885344
197.890000	200.653041
197.010000	201.630110
195.950000	202.607178
195.190000	203.584247
194.080000	204.700897
192.820000	205.747757
191.960000	207.003988
190.720000	208.190429
189.300000	209.516451
188.110000	210.912263
186.550000	212.447657
184.920000	213.983051
183.640000	215.518445
181.990000	217.193420
180.230000	218.798604
178.800000	220.543370
176.870000	222.357926
175.410000	224.102692
173.620000	225.917248
171.830000	227.941176
170.350000	229.755733
168.450000	231.779661
166.570000	233.733799
164.870000	235.827517
162.540000	237.991027
160.330000	240.084746
158.930000	242.318046
156.840000	244.481555
154.720000	246.645065
152.910000	248.878365
150.760000	251.041874
148.580000	253.344965
147.110000	255.787637
145.180000	258.090728
143.570000	260.393819
141.400000	262.696909
139.420000	265.000000
137.890000	267.303091
135.820000	269.606181
134.030000	271.909272
132.260000	274.212363
130.550000	276.515454
128.660000	278.818544
127.270000	281.121635
125.620000	283.424726
124.310000	285.588235
122.660000	287.891326
120.920000	289.985045
119.710000	292.148554
118.210000	294.242273
116.810000	296.335992
115.610000	298.429711
114.240000	300.523430
113.170000	302.477567
111.870000	304.361914
110.640000	306.176471
109.660000	308.060818
108.420000	309.945165
107.250000	311.689930
106.420000	313.295115
105.460000	314.970090
104.710000	316.505484
103.840000	318.040877
102.940000	319.436690
102.260000	320.902293
101.390000	322.298106
100.640000	323.624128
100.130000	324.950150
99.350000	326.136590
98.690000	327.253240
98.080000	328.230309
97.520000	329.137587
97.060000	329.905284
96.500000	330.742772
96.050000	331.510469
95.670000	332.208375
95.270000	332.836491
94.870000	333.394816
94.630000	333.813559
94.280000	334.162512
94.090000	334.371884
93.780000	334.581256
93.570000	334.790628
93.420000	334.930209
93.260000	335.000000
93.110000	335.000000
93.050000	335.000000
92.920000	334.790628
92.880000	334.581256
92.800000	334.371884
92.760000	334.022931
92.770000	333.604187
92.760000	333.045862
92.820000	332.417747
92.870000	331.719840
92.990000	330.952144
