Absolutdruck 1, Messreihe #1
Zeit ( s )	Absolutdruck 1 ( kPa )
0,0000	161,19
0,1000	159,87
0,2000	97,10
0,3000	130,15
0,4000	168,18
0,5000	106,26
0,6000	120,84
0,7000	174,39
0,8000	113,99
0,9000	101,46
1,0000	169,95
1,1000	147,36
1,2000	98,61
1,3000	142,48
1,4000	158,20
1,5000	100,55
1,6000	131,95
1,7000	166,73
1,8000	105,23
1,9000	122,41
2,0000	174,92
2,1000	112,41
2,2000	102,21
2,3000	170,91
2,4000	145,46
2,5000	98,90
2,6000	144,37
2,7000	156,22
2,8000	99,92
2,9000	133,86
3,0000	175,58
3,1000	104,37
3,2000	108,02
3,3000	175,31
3,4000	131,74
3,5000	102,94
3,6000	156,05
3,7000	143,71
3,8000	99,33
3,9000	145,96
4,0000	155,01
4,1000	99,58
4,2000	135,57
4,3000	175,43
4,4000	103,68
4,5000	109,03
4,6000	175,58
4,7000	130,23
4,8000	103,54
4,9000	157,38
5,0000	141,84
5,1000	97,48
5,2000	147,69
5,3000	170,83
5,4000	99,11
5,5000	117,49
5,6000	174,99
5,7000	118,07
5,8000	109,95
5,9000	175,69
6,0000	128,50
6,1000	104,32
6,2000	158,86
6,3000	140,22
6,4000	97,44
6,5000	148,88
6,6000	170,10
6,7000	98,85
6,8000	118,39
6,9000	174,60
7,0000	117,04
7,1000	110,93
7,2000	168,05
7,3000	127,41
7,4000	98,07
7,5000	159,93
7,6000	161,43
7,7000	97,43
7,8000	128,67
7,9000	169,30
8,0000	98,63
8,1000	119,46
8,2000	174,27
8,3000	115,94
8,4000	111,53
8,5000	168,57
8,6000	126,29
8,7000	98,28
8,8000	160,76
8,9000	160,81
9,0000	97,39
9,1000	129,58
9,2000	168,76
9,3000	107,23
9,4000	120,03
9,5000	173,89
9,6000	115,53
9,7000	101,00
9,8000	168,90
9,9000	149,51
10,0000	98,35
10,1000	161,00
10,2000	160,18
10,3000	97,31
10,4000	129,94
10,5000	168,55
10,6000	107,09
10,7000	120,38
10,8000	174,22
10,9000	115,19
11,0000	101,25
11,1000	169,32
11,2000	148,83
11,3000	98,47
11,4000	141,19
11,5000	159,60
11,6000	101,38
11,7000	130,57
11,8000	175,91
11,9000	106,65
12,0000	106,33
12,1000	174,44
12,2000	114,60
12,3000	101,47
12,4000	169,74
12,5000	148,15
12,6000	98,57
12,7000	141,77
12,8000	159,18
12,9000	101,23
13,0000	131,02
13,1000	175,78
13,2000	106,52
13,3000	106,39
13,4000	174,45
13,5000	136,06
13,6000	101,61
13,7000	152,63
13,8000	148,00
13,9000	98,17
14,0000	141,97
14,1000	173,24
14,2000	101,13
14,3000	131,26
14,4000	175,74
14,5000	106,27
14,6000	106,61
14,7000	174,64
14,8000	135,30
14,9000	101,82
15,0000	153,20
15,1000	147,32
15,2000	98,08
15,3000	142,85
15,4000	173,12
15,5000	100,88
15,6000	113,68
15,7000	175,67
15,8000	123,27
15,9000	107,04
16,0000	163,03
16,1000	134,73
16,2000	97,55
16,3000	153,92
16,4000	146,54
16,5000	98,06
16,6000	143,08
16,7000	173,01
16,8000	100,78
16,9000	113,92
17,0000	175,59
17,1000	123,24
17,2000	107,12
17,3000	163,30
17,4000	134,57
17,5000	97,48
17,6000	153,84
17,7000	166,68
17,8000	98,08
17,9000	122,38
18,0000	172,88
18,1000	113,30
18,2000	114,10
18,3000	170,79
18,4000	123,06
18,5000	107,29
18,6000	163,38
18,7000	134,60
18,8000	97,61
18,9000	154,17
19,0000	166,65
19,1000	98,16
19,2000	122,81
19,3000	172,95
19,4000	113,30
19,5000	114,13
19,6000	170,57
19,7000	123,09
19,8000	98,96
19,9000	163,34
20,0000	157,72
20,1000	97,55
20,2000	132,72
20,3000	166,65
20,4000	105,64
20,5000	122,84
20,6000	172,67
20,7000	113,07
20,8000	114,23
20,9000	170,71
21,0000	123,06
21,1000	99,00
21,2000	163,57
21,3000	157,68
21,4000	97,61
21,5000	132,60
21,6000	166,91
21,7000	105,99
21,8000	122,46
21,9000	174,68
22,0000	113,60
22,1000	102,04
22,2000	170,53
22,3000	146,89
22,4000	98,93
22,5000	142,99
22,6000	158,25
22,7000	97,59
22,8000	132,14
22,9000	167,21
23,0000	106,16
23,1000	121,96
23,2000	174,62
23,3000	114,17
23,4000	101,92
23,5000	170,09
23,6000	147,45
23,7000	98,82
23,8000	142,59
23,9000	158,76
24,0000	101,20
24,1000	131,44
24,2000	175,59
24,3000	106,36
24,4000	106,64
24,5000	174,43
24,6000	135,84
24,7000	101,74
24,8000	169,95
24,9000	148,07
25,0000	98,76
25,1000	141,99
25,2000	159,14
25,3000	101,47
25,4000	131,11
25,5000	175,69
25,6000	106,90
25,7000	106,44
25,8000	174,24
25,9000	136,82
26,0000	101,38
26,1000	152,06
26,2000	148,92
26,3000	98,57
26,4000	141,13
26,5000	173,63
26,6000	101,70
26,7000	112,51
26,8000	175,68
26,9000	107,38
27,0000	106,10
27,1000	174,19
27,2000	137,50
27,3000	101,34
27,4000	151,61
27,5000	149,57
27,6000	98,68
27,7000	140,67
27,8000	174,02
27,9000	102,14
28,0000	112,06
28,1000	175,79
28,2000	126,37
28,3000	105,69
28,4000	160,57
28,5000	138,66
28,6000	97,63
28,7000	150,82
28,8000	150,78
28,9000	98,97
29,0000	139,52
29,1000	174,44
29,2000	102,60
29,3000	111,40
29,4000	175,75
29,5000	127,72
29,6000	105,15
29,7000	159,86
29,8000	139,88
29,9000	97,75
30,0000	149,61
30,1000	170,00
30,2000	99,26
30,3000	118,86
30,4000	174,74
30,5000	118,10
30,6000	110,65
30,7000	167,57
30,8000	128,60
30,9000	98,15
31,0000	159,02
31,1000	140,85
31,2000	97,74
31,3000	148,79
31,4000	170,28
31,5000	99,37
31,6000	118,01
31,7000	174,78
31,8000	118,71
31,9000	110,30
32,0000	167,11
32,1000	129,58
32,2000	98,15
32,3000	158,55
32,4000	163,08
32,5000	97,81
32,6000	126,98
32,7000	170,61
32,8000	110,00
32,9000	117,66
33,0000	174,88
33,1000	118,97
33,2000	110,02
33,3000	166,61
33,4000	130,15
33,5000	98,10
33,6000	158,04
33,7000	163,61
33,8000	97,95
33,9000	126,34
34,0000	171,04
34,1000	110,60
34,2000	117,13
34,3000	172,39
34,4000	119,79
34,5000	99,92
34,6000	165,94
34,7000	154,37
34,8000	97,96
34,9000	136,06
35,0000	164,26
35,1000	97,98
35,2000	125,74
35,3000	171,50
35,4000	111,16
35,5000	116,51
35,6000	172,08
35,7000	120,59
35,8000	99,84
35,9000	165,48
36,0000	155,13
36,1000	97,89
36,2000	135,44
36,3000	164,92
36,4000	104,75
36,5000	124,67
36,6000	175,30
36,7000	111,99
36,8000	103,25
36,9000	171,60
37,0000	144,70
37,1000	99,52
37,2000	164,84
37,3000	156,01
37,4000	97,76
37,5000	134,32
37,6000	165,63
37,7000	105,28
37,8000	123,96
37,9000	175,08
38,0000	112,79
38,1000	102,93
38,2000	171,33
38,3000	145,79
38,4000	99,40
38,5000	144,52
38,6000	157,21
38,7000	100,93
38,8000	133,66
38,9000	175,75
39,0000	105,88
39,1000	107,84
39,2000	174,96
39,3000	113,41
39,4000	102,56
39,5000	171,10
39,6000	146,40
39,7000	99,33
39,8000	144,04
39,9000	157,66
40,0000	101,08
40,1000	133,14
40,2000	175,68
40,3000	106,09
40,4000	107,70
40,5000	175,07
40,6000	134,91
40,7000	102,51
40,8000	154,26
40,9000	147,07
41,0000	98,46
41,1000	143,48
41,2000	172,92
41,3000	101,21
41,4000	132,35
41,5000	175,70
41,6000	106,50
41,7000	107,14
41,8000	174,63
41,9000	135,83
42,0000	102,11
42,1000	153,38
42,2000	147,96
42,3000	98,56
42,4000	142,33
42,5000	173,36
42,6000	101,67
42,7000	113,29
42,8000	175,65
42,9000	124,79
43,0000	106,71
43,1000	162,36
43,2000	136,81
43,3000	97,81
43,4000	152,92
43,5000	148,55
43,6000	98,71
43,7000	142,17
43,8000	173,49
43,9000	101,69
44,0000	113,31
44,1000	175,76
44,2000	125,09
44,3000	106,56
44,4000	162,33
44,5000	136,80
44,6000	97,83
44,7000	152,51
44,8000	168,14
44,9000	98,76
45,0000	121,36
45,1000	173,69
45,2000	115,51
45,3000	112,87
45,4000	169,50
45,5000	125,91
45,6000	106,26
45,7000	161,54
45,8000	138,00
45,9000	97,87
46,0000	151,94
46,1000	168,66
46,2000	98,96
46,3000	120,54
46,4000	174,11
46,5000	116,29
46,6000	112,27
46,7000	168,93
46,8000	126,53
46,9000	98,75
47,0000	161,35
47,1000	160,31
47,2000	97,77
47,3000	130,17
47,4000	168,68
47,5000	107,94
47,6000	120,59
47,7000	173,97
47,8000	116,23
47,9000	112,20
48,0000	169,03
48,1000	126,68
48,2000	98,71
48,3000	161,17
48,4000	160,58
48,5000	97,80
48,6000	130,09
48,7000	168,95
48,8000	108,20
48,9000	120,33
49,0000	174,20
49,1000	116,54
49,2000	101,36
49,3000	168,86
49,4000	150,26
49,5000	98,67
49,6000	140,49
49,7000	160,81
49,8000	97,90
49,9000	129,79
50,0000	169,13
50,1000	108,32
50,2000	120,17
50,3000	173,93
50,4000	116,89
50,5000	101,32
50,6000	168,85
50,7000	150,66
50,8000	98,71
50,9000	140,34
51,0000	161,31
51,1000	102,73
51,2000	129,23
51,3000	175,83
51,4000	108,76
51,5000	105,49
51,6000	173,68
51,7000	139,66
51,8000	100,94
51,9000	168,23
52,0000	151,45
52,1000	98,55
52,2000	139,21
52,3000	161,92
52,4000	103,06
52,5000	128,40
52,6000	175,71
52,7000	109,29
52,8000	104,91
52,9000	173,20
53,0000	140,38
53,1000	100,72
53,2000	149,24
53,3000	152,68
53,4000	99,64
53,5000	138,24
53,6000	174,81
53,7000	103,63
53,8000	110,47
53,9000	175,63
54,0000	110,09
54,1000	104,56
54,2000	172,90
54,3000	141,51
54,4000	100,35
54,5000	148,52
54,6000	153,24
54,7000	99,80
54,8000	137,26
54,9000	175,03
55,0000	103,99
55,1000	110,03
55,2000	175,51
55,3000	130,43
55,4000	104,35
55,5000	158,12
55,6000	142,52
55,7000	98,05
55,8000	147,53
55,9000	171,06
56,0000	100,04
56,1000	136,44
56,2000	175,21
56,3000	104,43
56,4000	109,54
56,5000	175,48
56,6000	131,50
56,7000	103,76
56,8000	157,13
56,9000	143,55
57,0000	98,13
57,1000	146,61
57,2000	171,60
57,3000	100,36
57,4000	116,45
57,5000	175,35
57,6000	121,21
57,7000	108,83
57,8000	165,37
57,9000	132,34
58,0000	98,11
58,1000	156,22
58,2000	144,81
58,3000	98,34
58,4000	145,93
58,5000	172,18
58,6000	100,65
58,7000	115,73
58,8000	175,33
58,9000	122,02
59,0000	108,49
59,1000	164,82
59,2000	133,47
59,3000	98,06
59,4000	155,56
59,5000	165,80
59,6000	98,38
59,7000	124,05
59,8000	172,30
59,9000	112,81
60,0000	115,30
60,1000	171,28
60,2000	122,57
60,3000	108,07
60,4000	164,34
60,5000	134,18
60,6000	97,92
60,7000	154,86
60,8000	166,08
60,9000	98,36
61,0000	123,16
61,1000	172,69
61,2000	113,71
61,3000	114,38
61,4000	170,66
61,5000	123,71
61,6000	99,20
61,7000	163,23
61,8000	158,20
61,9000	97,81
62,0000	132,30
62,1000	167,09
62,2000	106,72
62,3000	122,07
62,4000	173,18
62,5000	114,85
62,6000	113,36
62,7000	169,89
62,8000	125,21
62,9000	98,92
63,0000	161,94
63,1000	159,75
63,2000	97,92
63,3000	130,75
63,4000	168,20
63,5000	107,67
63,6000	120,88
63,7000	174,19
63,8000	116,15
63,9000	101,43
64,0000	169,04
64,1000	150,21
64,2000	98,74
64,3000	140,52
64,4000	160,81
64,5000	97,88
64,6000	129,46
64,7000	169,31
64,8000	108,74
64,9000	119,60
65,0000	173,54
65,1000	117,52
65,2000	101,04
65,3000	168,27
65,4000	151,75
65,5000	98,53
65,6000	138,99
65,7000	162,39
65,8000	103,45
65,9000	127,96
66,0000	175,71
66,1000	109,68
66,2000	104,85
66,3000	173,00
66,4000	118,80
66,5000	100,59
66,6000	167,14
66,7000	153,31
66,8000	98,44
66,9000	137,69
67,0000	163,43
67,1000	104,03
67,2000	126,63
67,3000	175,56
67,4000	110,98
67,5000	104,04
67,6000	172,43
67,7000	142,92
67,8000	100,13
67,9000	146,81
68,0000	155,18
68,1000	100,38
68,2000	135,76
68,3000	175,23
68,4000	104,88
68,5000	125,12
68,6000	175,34
68,7000	112,34
68,8000	103,50
68,9000	171,80
69,0000	145,05
69,1000	99,66
69,2000	145,50
69,3000	156,35
69,4000	100,85
69,5000	134,36
69,6000	175,55
69,7000	105,69
69,8000	108,18
69,9000	175,04
70,0000	134,06
70,1000	102,89
70,2000	155,19
70,3000	146,39
70,4000	98,51
70,5000	144,13
70,6000	157,84
70,7000	101,38
70,8000	132,84
70,9000	175,66
71,0000	106,54
71,1000	107,25
71,2000	174,52
71,3000	136,01
71,4000	102,26
71,5000	153,52
71,6000	148,26
71,7000	98,87
71,8000	142,59
71,9000	173,47
72,0000	101,95
72,1000	113,31
72,2000	175,70
72,3000	125,51
72,4000	106,55
72,5000	162,05
72,6000	137,60
72,7000	101,72
72,8000	152,04
72,9000	149,79
73,0000	99,04
73,1000	140,78
73,2000	173,86
73,3000	102,57
73,4000	112,18
73,5000	175,73
73,6000	127,08
73,7000	105,76
73,8000	160,76
73,9000	139,11
74,0000	98,06
74,1000	150,78
74,2000	169,38
74,3000	99,38
74,4000	119,58
74,5000	174,28
74,6000	117,68
74,7000	111,48
74,8000	175,77
74,9000	128,40
75,0000	105,10
75,1000	159,86
75,2000	140,17
75,3000	98,08
75,4000	149,77
75,5000	170,03
75,6000	99,62
75,7000	118,72
75,8000	174,68
75,9000	118,92
76,0000	110,54
76,1000	167,41
76,2000	129,78
76,3000	98,40
76,4000	158,75
76,5000	163,48
76,6000	98,16
76,7000	126,75
76,8000	170,79
76,9000	100,02
77,0000	117,34
77,1000	174,98
77,2000	120,20
77,3000	109,63
77,4000	166,16
77,5000	131,64
77,6000	98,20
77,7000	157,21
77,8000	164,46
77,9000	98,15
78,0000	125,32
78,1000	171,83
78,2000	112,21
78,3000	116,12
78,4000	171,89
78,5000	121,65
78,6000	99,74
78,7000	165,13
78,8000	155,71
78,9000	98,02
79,0000	155,92
79,1000	165,63
79,2000	98,38
79,3000	124,12
79,4000	172,29
79,5000	113,21
79,6000	115,06
