Winkelposition, Messreihe #1
Zeit ( s )	Winkelposition ( rad )
0,0000	-0,061
0,0500	-0,146
0,1000	-0,261
0,1500	-0,364
0,2000	-0,396
0,2500	-0,264
0,3000	0,116
0,3500	0,713
0,4000	1,301
0,4500	1,599
0,5000	1,404
0,5500	0,595
0,6000	-0,261
0,6500	-0,253
0,7000	0,776
0,7500	1,587
0,8000	1,145
0,8500	0,019
0,9000	-0,388
0,9500	0,291
1,0000	1,268
1,0500	1,602
1,1000	1,093
1,1500	0,129
1,2000	-0,394
1,2500	-0,064
1,3000	0,825
1,3500	1,510
1,4000	1,503
1,4500	0,693
1,5000	-0,223
1,5500	-0,320
1,6000	0,452
1,6500	1,334
1,7000	1,593
1,7500	1,016
1,8000	0,013
1,8500	-0,399
1,9000	0,123
1,9500	1,063
2,0000	1,588
2,0500	1,332
2,1000	0,372
2,1500	-0,353
2,2000	-0,167
2,2500	0,723
2,3000	1,475
2,3500	1,528
2,4000	0,762
2,4500	-0,178
2,5000	-0,349
2,5500	0,368
2,6000	1,269
2,6500	1,605
2,7000	1,123
2,7500	0,116
2,8000	-0,401
2,8500	0,035
2,9000	0,974
2,9500	1,568
3,0000	1,401
3,0500	0,485
3,1000	-0,317
3,1500	-0,229
3,2000	0,625
3,2500	1,426
3,3000	1,563
3,3500	0,877
3,4000	-0,102
3,4500	-0,377
3,5000	0,269
3,5500	1,191
3,6000	1,604
3,6500	1,217
3,7000	0,218
3,7500	-0,391
3,8000	-0,052
3,8500	0,877
3,9000	1,536
3,9500	1,462
4,0000	0,600
4,0500	-0,269
4,1000	-0,284
4,1500	0,523
4,2000	1,367
4,2500	1,588
4,3000	0,990
4,3500	-0,016
4,4000	-0,396
4,4500	0,170
4,5000	1,107
4,5500	1,594
4,6000	1,305
4,6500	0,333
4,7000	-0,368
4,7500	-0,132
4,8000	0,779
4,8500	1,497
4,9000	1,513
4,9500	0,719
5,0000	-0,207
5,0500	-0,330
5,1000	0,418
5,1500	1,299
5,2000	1,601
5,2500	1,095
5,3000	0,080
5,3500	-0,402
5,4000	0,074
5,4500	1,015
5,5000	1,576
5,5500	1,381
5,6000	0,446
5,6500	-0,333
5,7000	-0,203
5,7500	0,671
5,8000	1,447
5,8500	1,554
5,9000	0,842
5,9500	-0,130
6,0000	-0,368
6,0500	0,309
6,1000	1,221
6,1500	1,604
6,2000	1,194
6,2500	0,187
6,3000	-0,396
6,3500	-0,017
6,4000	0,922
