Absolutdruck 1, Messreihe #1
Zeit ( s )	Absolutdruck 1 ( kPa )
0,0000	98,69
0,1000	96,04
0,2000	95,79
0,3000	103,66
0,4000	150,16
0,5000	161,28
0,6000	94,83
0,7000	116,29
0,8000	144,93
0,9000	93,68
1,0000	150,71
1,1000	155,66
1,2000	94,14
1,3000	120,36
1,4000	167,61
1,5000	105,69
1,6000	116,10
1,7000	173,29
1,8000	108,29
1,9000	113,34
2,0000	172,27
2,1000	112,80
2,2000	99,05
2,3000	170,36
2,4000	140,18
2,5000	97,97
2,6000	147,26
2,7000	146,11
2,8000	96,28
2,9000	142,72
3,0000	171,66
3,1000	97,51
3,2000	117,44
3,3000	174,97
3,4000	112,00
3,5000	114,01
3,6000	174,68
3,7000	116,32
3,8000	99,90
3,9000	172,20
4,0000	121,13
4,1000	98,76
4,2000	169,12
4,3000	150,96
4,4000	97,95
4,5000	142,91
4,6000	156,60
4,7000	99,34
4,8000	138,29
4,9000	178,30
5,0000	101,15
5,1000	113,93
5,2000	180,32
5,3000	119,77
5,4000	110,61
5,5000	172,73
5,6000	124,63
5,7000	99,00
5,8000	169,16
5,9000	154,93
6,0000	98,26
6,1000	164,86
6,2000	160,53
6,3000	97,86
6,4000	137,10
6,5000	165,56
6,6000	102,76
6,7000	132,05
6,8000	182,03
6,9000	105,41
7,0000	109,87
7,1000	182,41
7,2000	127,89
7,3000	106,84
7,4000	167,89
7,5000	133,45
7,6000	98,25
7,7000	163,08
7,8000	164,19
7,9000	97,90
8,0000	134,66
8,1000	169,15
8,2000	98,06
8,3000	129,64
8,4000	173,50
8,5000	107,31
8,6000	124,77
8,7000	182,60
8,8000	111,30
8,9000	105,12
9,0000	181,00
9,1000	138,49
9,2000	102,75
9,3000	159,11
9,4000	145,08
9,5000	98,12
9,6000	153,38
9,7000	173,87
9,8000	98,83
9,9000	124,82
10,0000	177,95
10,1000	111,53
10,2000	119,79
10,3000	181,06
10,4000	116,38
10,5000	115,11
10,6000	178,17
10,7000	121,65
10,8000	100,68
10,9000	174,30
11,0000	152,55
11,1000	99,30
11,2000	146,81
11,3000	159,02
11,4000	100,42
11,5000	140,55
11,6000	181,68
11,7000	102,58
11,8000	114,70
11,9000	183,53
12,0000	122,86
12,1000	110,54
12,2000	173,62
12,3000	128,93
12,4000	107,13
12,5000	168,30
12,6000	135,91
12,7000	98,41
12,8000	162,63
12,9000	167,29
13,0000	98,27
13,1000	132,74
13,2000	173,01
13,3000	106,69
13,4000	126,79
13,5000	183,95
13,6000	110,62
13,7000	106,17
13,8000	182,43
13,9000	138,04
14,0000	103,38
14,1000	160,64
14,2000	145,44
14,3000	98,43
14,4000	154,19
