Absolutdruck 1, Messreihe #2
Zeit ( s )	Absolutdruck 1 ( kPa )
0,0000	149,81
0,0010	151,62
0,0020	153,80
0,0030	155,61
0,0040	157,81
0,0050	160,03
0,0060	161,93
0,0070	164,15
0,0080	166,38
0,0090	168,09
0,0100	170,26
0,0110	172,35
0,0120	174,11
0,0130	176,18
0,0140	178,27
0,0150	179,94
0,0160	181,86
0,0170	183,32
0,0180	185,10
0,0190	186,86
0,0200	188,28
0,0210	189,84
0,0220	191,23
0,0230	192,51
0,0240	193,68
0,0250	195,03
0,0260	195,90
0,0270	196,96
0,0280	197,87
0,0290	198,59
0,0300	199,34
0,0310	199,76
0,0320	200,24
0,0330	200,66
0,0340	201,01
0,0350	201,12
0,0360	201,26
0,0370	201,23
0,0380	201,21
0,0390	201,04
0,0400	200,79
0,0410	200,30
0,0420	199,89
0,0430	199,39
0,0440	198,72
0,0450	197,93
0,0460	197,21
0,0470	196,19
0,0480	195,33
0,0490	194,20
0,0500	193,04
0,0510	192,04
0,0520	190,76
0,0530	189,43
0,0540	188,28
0,0550	186,70
0,0560	185,13
0,0570	183,88
0,0580	182,10
0,0590	180,69
0,0600	179,04
0,0610	177,12
0,0620	175,61
0,0630	173,65
0,0640	171,95
0,0650	170,51
0,0660	168,57
0,0670	166,58
0,0680	165,22
0,0690	163,86
0,0700	161,32
0,0710	159,13
0,0720	157,01
0,0730	155,45
0,0740	153,48
0,0750	150,82
0,0760	149,19
0,0770	146,91
0,0780	145,04
0,0790	143,43
0,0800	141,62
0,0810	139,46
0,0820	137,92
0,0830	135,89
0,0840	134,03
0,0850	132,42
0,0860	130,56
0,0870	129,00
0,0880	127,33
0,0890	125,55
0,0900	124,35
0,0910	122,60
0,0920	121,08
0,0930	119,86
0,0940	118,20
0,0950	117,05
0,0960	115,72
0,0970	114,31
0,0980	113,21
0,0990	111,91
0,1000	110,62
0,1010	109,64
0,1020	108,48
0,1030	107,37
0,1040	106,48
0,1050	105,29
0,1060	104,62
0,1070	103,65
0,1080	102,78
0,1090	102,11
0,1100	101,31
0,1110	100,58
0,1120	99,99
0,1130	99,35
0,1140	98,78
0,1150	98,12
0,1160	97,49
0,1170	97,09
0,1180	96,55
0,1190	96,01
0,1200	95,63
0,1210	95,22
0,1220	94,87
0,1230	94,48
0,1240	94,20
0,1250	93,92
0,1260	93,65
0,1270	93,42
0,1280	93,26
0,1290	93,13
0,1300	92,97
0,1310	92,88
0,1320	92,76
0,1330	92,68
0,1340	92,64
0,1350	92,62
0,1360	92,65
0,1370	92,70
0,1380	92,74
0,1390	92,88
0,1400	92,98
0,1410	93,13
0,1420	93,43
0,1430	93,58
0,1440	93,87
0,1450	94,16
0,1460	94,48
0,1470	94,78
0,1480	95,10
0,1490	95,46
0,1500	95,87
0,1510	96,29
0,1520	96,62
0,1530	97,10
0,1540	97,62
0,1550	98,08
0,1560	98,62
0,1570	99,17
0,1580	99,85
0,1590	100,50
0,1600	101,13
0,1610	101,92
0,1620	102,68
0,1630	103,41
0,1640	104,31
0,1650	104,98
0,1660	105,97
0,1670	106,97
0,1680	107,79
0,1690	108,91
0,1700	110,03
0,1710	110,90
0,1720	112,16
0,1730	113,44
0,1740	114,53
0,1750	115,83
0,1760	117,00
0,1770	118,37
0,1780	119,80
0,1790	121,11
0,1800	122,75
0,1810	124,35
0,1820	125,67
0,1830	127,41
0,1840	128,87
0,1850	130,77
0,1860	132,70
0,1870	134,24
0,1880	136,10
0,1890	138,24
0,1900	139,73
0,1910	141,88
0,1920	143,88
0,1930	145,58
0,1940	147,74
0,1950	149,44
0,1960	151,63
0,1970	153,83
0,1980	155,63
0,1990	157,96
0,2000	160,09
0,2010	162,00
0,2020	164,28
0,2030	166,49
0,2040	168,20
0,2050	170,32
0,2060	172,54
0,2070	174,14
0,2080	176,26
0,2090	178,32
0,2100	179,83
0,2110	181,84
0,2120	183,42
0,2130	185,20
0,2140	187,03
