Winkelposition, Messreihe #1
Zeit ( s )	Winkelposition ( rad )
0,0000	1,563
0,0010	1,544
0,0020	1,524
0,0030	1,502
0,0040	1,478
0,0050	1,455
0,0060	1,428
0,0070	1,401
0,0080	1,373
0,0090	1,343
0,0100	1,313
0,0110	1,282
0,0120	1,250
0,0130	1,217
0,0140	1,184
0,0150	1,150
0,0160	1,115
0,0170	1,081
0,0180	1,043
0,0190	1,007
0,0200	0,969
0,0210	0,931
0,0220	0,894
0,0230	0,856
0,0240	0,818
0,0250	0,779
0,0260	0,740
0,0270	0,701
0,0280	0,661
0,0290	0,622
0,0300	0,584
0,0310	0,547
0,0320	0,509
0,0330	0,470
0,0340	0,432
0,0350	0,394
0,0360	0,358
0,0370	0,322
0,0380	0,287
0,0390	0,253
0,0400	0,218
0,0410	0,185
0,0420	0,152
0,0430	0,119
0,0440	0,090
0,0450	0,060
0,0460	0,031
0,0470	0,003
0,0480	-0,024
0,0490	-0,049
0,0500	-0,074
0,0510	-0,097
0,0520	-0,119
0,0530	-0,140
0,0540	-0,160
0,0550	-0,178
0,0560	-0,196
0,0570	-0,212
0,0580	-0,226
0,0590	-0,239
0,0600	-0,250
0,0610	-0,261
0,0620	-0,270
0,0630	-0,278
0,0640	-0,283
0,0650	-0,287
0,0660	-0,291
0,0670	-0,294
0,0680	-0,294
0,0690	-0,294
0,0700	-0,292
0,0710	-0,291
0,0720	-0,286
0,0730	-0,281
0,0740	-0,273
0,0750	-0,265
0,0760	-0,254
0,0770	-0,243
0,0780	-0,231
0,0790	-0,217
0,0800	-0,203
0,0810	-0,185
0,0820	-0,168
0,0830	-0,149
0,0840	-0,129
0,0850	-0,108
0,0860	-0,085
0,0870	-0,061
0,0880	-0,035
0,0890	-0,008
0,0900	0,019
0,0910	0,047
0,0920	0,075
0,0930	0,105
0,0940	0,137
0,0950	0,168
0,0960	0,201
0,0970	0,236
0,0980	0,270
0,0990	0,305
0,1000	0,339
0,1010	0,374
0,1020	0,412
0,1030	0,449
0,1040	0,487
0,1050	0,525
0,1060	0,562
0,1070	0,600
0,1080	0,639
0,1090	0,677
0,1100	0,716
0,1110	0,756
0,1120	0,793
0,1130	0,833
0,1140	0,872
0,1150	0,909
0,1160	0,947
0,1170	0,985
0,1180	1,023
0,1190	1,059
0,1200	1,095
0,1210	1,129
0,1220	1,166
0,1230	1,199
0,1240	1,233
0,1250	1,264
0,1260	1,296
0,1270	1,327
0,1280	1,356
0,1290	1,385
0,1300	1,414
0,1310	1,440
0,1320	1,466
0,1330	1,491
0,1340	1,514
0,1350	1,536
0,1360	1,557
0,1370	1,576
0,1380	1,594
0,1390	1,612
0,1400	1,627
0,1410	1,641
0,1420	1,654
0,1430	1,667
0,1440	1,676
0,1450	1,685
0,1460	1,693
0,1470	1,701
0,1480	1,706
0,1490	1,709
0,1500	1,711
0,1510	1,712
0,1520	1,712
0,1530	1,711
0,1540	1,709
0,1550	1,704
0,1560	1,700
0,1570	1,692
0,1580	1,684
0,1590	1,674
0,1600	1,663
0,1610	1,651
0,1620	1,637
0,1630	1,623
0,1640	1,607
0,1650	1,588
0,1660	1,569
0,1670	1,549
0,1680	1,527
0,1690	1,505
0,1700	1,483
0,1710	1,458
0,1720	1,433
0,1730	1,406
0,1740	1,376
0,1750	1,348
0,1760	1,318
0,1770	1,286
0,1780	1,255
0,1790	1,224
0,1800	1,191
0,1810	1,156
0,1820	1,122
0,1830	1,085
0,1840	1,049
0,1850	1,013
0,1860	0,975
0,1870	0,938
0,1880	0,900
0,1890	0,862
0,1900	0,825
0,1910	0,787
0,1920	0,748
0,1930	0,707
0,1940	0,668
0,1950	0,628
0,1960	0,591
0,1970	0,553
0,1980	0,515
0,1990	0,476
0,2000	0,438
0,2010	0,401
0,2020	0,364
0,2030	0,328
