Winkelposition, Messreihe #5
Zeit ( s )	Winkelposition ( rad )
0,0000	1,418
0,0010	1,436
0,0020	1,456
0,0030	1,477
0,0040	1,495
0,0050	1,516
0,0060	1,535
0,0070	1,554
0,0080	1,572
0,0090	1,591
0,0100	1,608
0,0110	1,626
0,0120	1,645
0,0130	1,660
0,0140	1,678
0,0150	1,693
0,0160	1,709
0,0170	1,723
0,0180	1,739
0,0190	1,753
0,0200	1,767
0,0210	1,781
0,0220	1,794
0,0230	1,806
0,0240	1,817
0,0250	1,830
0,0260	1,843
0,0270	1,854
0,0280	1,863
0,0290	1,872
0,0300	1,882
0,0310	1,891
0,0320	1,901
0,0330	1,909
0,0340	1,916
0,0350	1,924
0,0360	1,931
0,0370	1,937
0,0380	1,943
0,0390	1,949
0,0400	1,954
0,0410	1,959
0,0420	1,963
0,0430	1,968
0,0440	1,971
0,0450	1,974
0,0460	1,978
0,0470	1,979
0,0480	1,981
0,0490	1,982
0,0500	1,984
0,0510	1,985
0,0520	1,985
0,0530	1,985
0,0540	1,985
0,0550	1,985
0,0560	1,984
0,0570	1,982
0,0580	1,981
0,0590	1,978
0,0600	1,974
0,0610	1,971
0,0620	1,968
0,0630	1,965
0,0640	1,960
0,0650	1,956
0,0660	1,951
0,0670	1,945
0,0680	1,938
0,0690	1,932
0,0700	1,926
0,0710	1,920
0,0720	1,912
0,0730	1,904
0,0740	1,894
0,0750	1,887
0,0760	1,877
0,0770	1,866
0,0780	1,857
0,0790	1,846
0,0800	1,835
0,0810	1,824
0,0820	1,811
0,0830	1,800
0,0840	1,788
0,0850	1,773
0,0860	1,761
0,0870	1,747
0,0880	1,731
0,0890	1,717
0,0900	1,701
0,0910	1,685
0,0920	1,670
0,0930	1,654
0,0940	1,637
0,0950	1,619
0,0960	1,601
0,0970	1,583
0,0980	1,565
0,0990	1,546
0,1000	1,527
0,1010	1,508
0,1020	1,488
0,1030	1,467
0,1040	1,447
0,1050	1,426
0,1060	1,406
0,1070	1,384
0,1080	1,362
0,1090	1,340
0,1100	1,316
0,1110	1,294
0,1120	1,271
0,1130	1,247
0,1140	1,225
0,1150	1,202
0,1160	1,178
0,1170	1,155
0,1180	1,131
0,1190	1,106
0,1200	1,082
0,1210	1,057
0,1220	1,034
0,1230	1,010
0,1240	0,985
0,1250	0,960
0,1260	0,936
0,1270	0,911
0,1280	0,888
0,1290	0,862
0,1300	0,839
0,1310	0,814
0,1320	0,789
0,1330	0,765
0,1340	0,740
0,1350	0,716
0,1360	0,693
0,1370	0,669
0,1380	0,646
0,1390	0,622
0,1400	0,600
0,1410	0,576
0,1420	0,554
0,1430	0,531
0,1440	0,509
0,1450	0,489
0,1460	0,467
0,1470	0,446
0,1480	0,426
0,1490	0,405
0,1500	0,385
0,1510	0,364
0,1520	0,346
0,1530	0,327
0,1540	0,309
0,1550	0,291
0,1560	0,273
0,1570	0,256
0,1580	0,240
0,1590	0,223
0,1600	0,207
0,1610	0,193
0,1620	0,178
0,1630	0,163
0,1640	0,149
0,1650	0,137
0,1660	0,123
0,1670	0,112
0,1680	0,099
0,1690	0,090
0,1700	0,079
0,1710	0,069
0,1720	0,060
0,1730	0,050
0,1740	0,042
0,1750	0,035
0,1760	0,028
0,1770	0,020
0,1780	0,016
0,1790	0,009
0,1800	0,005
0,1810	0,000
0,1820	-0,003
0,1830	-0,006
0,1840	-0,009
0,1850	-0,011
0,1860	-0,013
0,1870	-0,014
0,1880	-0,014
0,1890	-0,014
0,1900	-0,014
0,1910	-0,014
0,1920	-0,013
0,1930	-0,011
0,1940	-0,008
0,1950	-0,005
0,1960	0,000
0,1970	0,005
0,1980	0,009
0,1990	0,014
0,2000	0,020
0,2010	0,027
0,2020	0,035
0,2030	0,042
0,2040	0,050
0,2050	0,060
0,2060	0,069
0,2070	0,079
0,2080	0,090
0,2090	0,101
0,2100	0,112
0,2110	0,124
0,2120	0,137
0,2130	0,149
0,2140	0,162
0,2150	0,176
0,2160	0,192
0,2170	0,206
0,2180	0,221
0,2190	0,237
0,2200	0,253
0,2210	0,270
0,2220	0,286
0,2230	0,303
0,2240	0,320
0,2250	0,339
0,2260	0,358
0,2270	0,377
0,2280	0,397
0,2290	0,416
0,2300	0,435
0,2310	0,456
0,2320	0,476
0,2330	0,498
0,2340	0,520
0,2350	0,542
0,2360	0,564
0,2370	0,584
0,2380	0,606
0,2390	0,628
0,2400	0,652
0,2410	0,675
0,2420	0,699
0,2430	0,721
0,2440	0,745
0,2450	0,768
0,2460	0,792
0,2470	0,815
0,2480	0,840
0,2490	0,864
0,2500	0,888
0,2510	0,911
0,2520	0,935
0,2530	0,958
0,2540	0,983
0,2550	1,007
0,2560	1,030
0,2570	1,056
0,2580	1,079
0,2590	1,103
0,2600	1,128
0,2610	1,150
0,2620	1,173
0,2630	1,197
0,2640	1,221
0,2650	1,243
0,2660	1,266
0,2670	1,290
0,2680	1,312
0,2690	1,334
0,2700	1,356
0,2710	1,378
0,2720	1,398
0,2730	1,418
0,2740	1,439
0,2750	1,459
0,2760	1,480
0,2770	1,500
0,2780	1,519
0,2790	1,539
0,2800	1,558
0,2810	1,576
0,2820	1,594
0,2830	1,612
0,2840	1,630
0,2850	1,648
0,2860	1,663
0,2870	1,681
0,2880	1,696
0,2890	1,711
0,2900	1,726
0,2910	1,742
0,2920	1,756
0,2930	1,770
0,2940	1,783
0,2950	1,795
0,2960	1,808
0,2970	1,821
0,2980	1,832
0,2990	1,844
0,3000	1,855
0,3010	1,865
0,3020	1,874
0,3030	1,883
0,3040	1,893
0,3050	1,901
0,3060	1,910
0,3070	1,918
0,3080	1,926
0,3090	1,932
0,3100	1,938
0,3110	1,945
0,3120	1,949
0,3130	1,954
0,3140	1,960
0,3150	1,965
0,3160	1,968
0,3170	1,971
0,3180	1,974
0,3190	1,978
0,3200	1,979
0,3210	1,981
0,3220	1,982
0,3230	1,984
0,3240	1,985
0,3250	1,985
0,3260	1,985
0,3270	1,985
0,3280	1,984
0,3290	1,984
0,3300	1,982
0,3310	1,981
0,3320	1,978
0,3330	1,974
0,3340	1,971
0,3350	1,968
0,3360	1,965
0,3370	1,960
0,3380	1,956
0,3390	1,951
0,3400	1,945
0,3410	1,938
0,3420	1,932
0,3430	1,926
0,3440	1,920
0,3450	1,912
0,3460	1,904
0,3470	1,894
0,3480	1,885
0,3490	1,876
0,3500	1,866
0,3510	1,857
0,3520	1,846
0,3530	1,835
0,3540	1,824
0,3550	1,811
0,3560	1,799
0,3570	1,786
0,3580	1,773
0,3590	1,759
0,3600	1,745
0,3610	1,731
0,3620	1,717
0,3630	1,701
0,3640	1,685
0,3650	1,670
0,3660	1,654
0,3670	1,637
0,3680	1,619
0,3690	1,601
0,3700	1,583
0,3710	1,565
0,3720	1,547
0,3730	1,528
0,3740	1,508
0,3750	1,488
0,3760	1,469
0,3770	1,448
0,3780	1,426
0,3790	1,406
0,3800	1,384
0,3810	1,362
0,3820	1,340
0,3830	1,318
0,3840	1,294
0,3850	1,272
0,3860	1,249
0,3870	1,227
0,3880	1,203
0,3890	1,180
0,3900	1,156
0,3910	1,133
0,3920	1,107
0,3930	1,084
0,3940	1,060
0,3950	1,035
0,3960	1,012
0,3970	0,986
0,3980	0,961
0,3990	0,938
0,4000	0,913
0,4010	0,889
0,4020	0,864
0,4030	0,840
0,4040	0,815
0,4050	0,792
0,4060	0,767
0,4070	0,743
0,4080	0,719
0,4090	0,694
0,4100	0,671
0,4110	0,647
0,4120	0,625
0,4130	0,602
0,4140	0,578
0,4150	0,556
0,4160	0,534
0,4170	0,512
0,4180	0,490
0,4190	0,470
0,4200	0,448
0,4210	0,427
0,4220	0,407
0,4230	0,386
0,4240	0,368
0,4250	0,349
0,4260	0,330
0,4270	0,311
0,4280	0,294
0,4290	0,276
0,4300	0,259
0,4310	0,242
0,4320	0,226
0,4330	0,210
0,4340	0,195
0,4350	0,181
0,4360	0,165
0,4370	0,151
0,4380	0,138
0,4390	0,126
0,4400	0,113
0,4410	0,102
0,4420	0,091
0,4430	0,080
0,4440	0,071
0,4450	0,061
0,4460	0,052
0,4470	0,044
0,4480	0,036
0,4490	0,028
0,4500	0,022
0,4510	0,016
0,4520	0,011
0,4530	0,006
0,4540	0,002
0,4550	-0,003
0,4560	-0,006
0,4570	-0,008
0,4580	-0,011
0,4590	-0,013
0,4600	-0,014
0,4610	-0,014
0,4620	-0,014
0,4630	-0,014
0,4640	-0,014
0,4650	-0,013
0,4660	-0,011
0,4670	-0,008
0,4680	-0,005
0,4690	0,000
0,4700	0,003
0,4710	0,008
0,4720	0,014
0,4730	0,019
0,4740	0,025
0,4750	0,033
0,4760	0,041
0,4770	0,049
0,4780	0,058
0,4790	0,066
0,4800	0,077
