Winkelposition, Messreihe #5
Zeit ( s )	Winkelposition ( rad )
0,0000	1,803
0,0010	1,821
0,0020	1,839
0,0030	1,857
0,0040	1,874
0,0050	1,888
0,0060	1,904
0,0070	1,916
0,0080	1,929
0,0090	1,940
0,0100	1,951
0,0110	1,959
0,0120	1,965
0,0130	1,971
0,0140	1,978
0,0150	1,982
0,0160	1,985
0,0170	1,987
0,0180	1,989
0,0190	1,989
0,0200	1,987
0,0210	1,985
0,0220	1,982
0,0230	1,978
0,0240	1,971
0,0250	1,963
0,0260	1,956
0,0270	1,946
0,0280	1,937
0,0290	1,926
0,0300	1,913
0,0310	1,899
0,0320	1,883
0,0330	1,868
0,0340	1,850
0,0350	1,833
0,0360	1,814
0,0370	1,794
0,0380	1,773
0,0390	1,751
0,0400	1,728
0,0410	1,704
0,0420	1,679
0,0430	1,654
0,0440	1,627
0,0450	1,599
0,0460	1,571
0,0470	1,543
0,0480	1,513
0,0490	1,481
0,0500	1,451
0,0510	1,420
0,0520	1,387
0,0530	1,354
0,0540	1,321
0,0550	1,286
0,0560	1,252
0,0570	1,217
0,0580	1,183
0,0590	1,148
0,0600	1,112
0,0610	1,076
0,0620	1,040
0,0630	1,004
0,0640	0,968
0,0650	0,931
0,0660	0,895
0,0670	0,859
0,0680	0,823
0,0690	0,789
0,0700	0,752
0,0710	0,718
0,0720	0,683
0,0730	0,649
0,0740	0,616
0,0750	0,581
0,0760	0,550
0,0770	0,517
0,0780	0,485
0,0790	0,454
0,0800	0,424
0,0810	0,394
0,0820	0,366
0,0830	0,338
0,0840	0,311
0,0850	0,284
0,0860	0,259
0,0870	0,236
0,0880	0,212
0,0890	0,190
0,0900	0,170
0,0910	0,149
0,0920	0,130
0,0930	0,112
0,0940	0,094
0,0950	0,079
0,0960	0,064
0,0970	0,052
0,0980	0,039
0,0990	0,028
0,1000	0,019
0,1010	0,011
0,1020	0,003
0,1030	-0,003
0,1040	-0,008
0,1050	-0,013
0,1060	-0,014
0,1070	-0,016
0,1080	-0,016
0,1090	-0,016
0,1100	-0,014
0,1110	-0,013
0,1120	-0,008
0,1130	-0,003
0,1140	0,003
0,1150	0,011
0,1160	0,020
0,1170	0,030
0,1180	0,042
0,1190	0,055
0,1200	0,068
0,1210	0,082
0,1220	0,099
0,1230	0,116
0,1240	0,134
0,1250	0,154
0,1260	0,174
0,1270	0,195
0,1280	0,218
0,1290	0,240
0,1300	0,265
0,1310	0,289
0,1320	0,316
0,1330	0,342
0,1340	0,371
0,1350	0,399
0,1360	0,427
0,1370	0,457
0,1380	0,489
0,1390	0,520
0,1400	0,551
0,1410	0,586
0,1420	0,619
0,1430	0,652
0,1440	0,683
0,1450	0,718
0,1460	0,752
0,1470	0,789
0,1480	0,825
0,1490	0,861
0,1500	0,897
0,1510	0,931
0,1520	0,966
0,1530	1,001
0,1540	1,037
0,1550	1,073
0,1560	1,111
0,1570	1,147
0,1580	1,181
0,1590	1,217
0,1600	1,250
0,1610	1,285
0,1620	1,319
0,1630	1,354
0,1640	1,387
0,1650	1,418
0,1660	1,451
0,1670	1,481
0,1680	1,511
0,1690	1,541
0,1700	1,571
0,1710	1,599
0,1720	1,626
0,1730	1,652
0,1740	1,679
0,1750	1,704
0,1760	1,728
0,1770	1,751
0,1780	1,773
0,1790	1,794
0,1800	1,814
0,1810	1,833
0,1820	1,852
0,1830	1,869
0,1840	1,885
0,1850	1,899
0,1860	1,913
0,1870	1,926
0,1880	1,938
0,1890	1,948
0,1900	1,957
0,1910	1,963
0,1920	1,970
0,1930	1,976
0,1940	1,981
0,1950	1,984
0,1960	1,987
0,1970	1,989
0,1980	1,989
0,1990	1,987
0,2000	1,985
0,2010	1,984
0,2020	1,979
0,2030	1,973
0,2040	1,967
0,2050	1,959
0,2060	1,949
0,2070	1,940
0,2080	1,929
0,2090	1,916
0,2100	1,904
0,2110	1,888
0,2120	1,872
0,2130	1,855
0,2140	1,838
0,2150	1,821
0,2160	1,800
0,2170	1,780
0,2180	1,758
0,2190	1,736
0,2200	1,712
0,2210	1,687
0,2220	1,662
0,2230	1,635
0,2240	1,607
0,2250	1,580
0,2260	1,550
0,2270	1,521
0,2280	1,491
0,2290	1,461
0,2300	1,429
0,2310	1,396
0,2320	1,365
0,2330	1,330
0,2340	1,296
0,2350	1,261
0,2360	1,227
0,2370	1,192
0,2380	1,158
0,2390	1,123
0,2400	1,087
0,2410	1,051
0,2420	1,015
0,2430	0,977
0,2440	0,941
0,2450	0,905
0,2460	0,870
0,2470	0,834
0,2480	0,800
0,2490	0,763
0,2500	0,729
0,2510	0,694
0,2520	0,660
0,2530	0,625
0,2540	0,592
0,2550	0,559
0,2560	0,526
0,2570	0,495
0,2580	0,463
0,2590	0,434
0,2600	0,404
0,2610	0,374
0,2620	0,346
0,2630	0,319
0,2640	0,292
0,2650	0,267
0,2660	0,242
0,2670	0,220
0,2680	0,196
0,2690	0,176
0,2700	0,156
0,2710	0,135
0,2720	0,118
0,2730	0,101
0,2740	0,083
0,2750	0,069
0,2760	0,055
0,2770	0,042
0,2780	0,031
0,2790	0,022
0,2800	0,013
0,2810	0,005
0,2820	-0,002
0,2830	-0,008
0,2840	-0,011
0,2850	-0,014
0,2860	-0,016
0,2870	-0,016
0,2880	-0,016
0,2890	-0,014
0,2900	-0,013
0,2910	-0,009
0,2920	-0,005
0,2930	0,000
0,2940	0,008
0,2950	0,017
0,2960	0,027
0,2970	0,038
0,2980	0,050
0,2990	0,064
0,3000	0,079
0,3010	0,094
0,3020	0,110
0,3030	0,129
0,3040	0,148
0,3050	0,168
0,3060	0,188
0,3070	0,210
0,3080	0,234
0,3090	0,258
0,3100	0,283
0,3110	0,308
0,3120	0,335
0,3130	0,363
0,3140	0,391
0,3150	0,419
0,3160	0,449
0,3170	0,479
0,3180	0,511
0,3190	0,542
0,3200	0,575
0,3210	0,608
0,3220	0,641
0,3230	0,674
0,3240	0,708
0,3250	0,743
0,3260	0,778
0,3270	0,814
0,3280	0,850
0,3290	0,886
0,3300	0,920
0,3310	0,957
0,3320	0,991
0,3330	1,027
0,3340	1,063
0,3350	1,100
0,3360	1,136
0,3370	1,172
0,3380	1,206
0,3390	1,241
0,3400	1,275
0,3410	1,308
0,3420	1,343
0,3430	1,378
0,3440	1,409
0,3450	1,442
0,3460	1,472
0,3470	1,503
0,3480	1,533
0,3490	1,563
0,3500	1,591
0,3510	1,618
0,3520	1,645
0,3530	1,671
0,3540	1,698
0,3550	1,722
0,3560	1,745
0,3570	1,767
0,3580	1,788
0,3590	1,810
0,3600	1,828
0,3610	1,847
0,3620	1,865
0,3630	1,880
0,3640	1,894
0,3650	1,909
0,3660	1,921
0,3670	1,934
0,3680	1,945
0,3690	1,954
0,3700	1,962
0,3710	1,968
0,3720	1,974
0,3730	1,979
0,3740	1,984
0,3750	1,985
0,3760	1,987
0,3770	1,989
0,3780	1,989
0,3790	1,987
0,3800	1,984
0,3810	1,981
0,3820	1,974
0,3830	1,968
0,3840	1,960
0,3850	1,953
0,3860	1,943
0,3870	1,932
0,3880	1,921
0,3890	1,907
0,3900	1,893
0,3910	1,877
0,3920	1,861
0,3930	1,843
0,3940	1,825
0,3950	1,806
0,3960	1,786
0,3970	1,764
0,3980	1,742
0,3990	1,718
0,4000	1,693
0,4010	1,668
0,4020	1,643
0,4030	1,615
0,4040	1,588
0,4050	1,558
0,4060	1,530
0,4070	1,499
0,4080	1,469
0,4090	1,437
0,4100	1,406
0,4110	1,373
0,4120	1,340
0,4130	1,305
0,4140	1,271
0,4150	1,236
0,4160	1,202
0,4170	1,167
0,4180	1,133
0,4190	1,096
0,4200	1,060
0,4210	1,024
0,4220	0,988
0,4230	0,952
0,4240	0,916
0,4250	0,880
0,4260	0,845
0,4270	0,809
0,4280	0,773
0,4290	0,738
0,4300	0,702
0,4310	0,668
0,4320	0,635
0,4330	0,600
0,4340	0,567
0,4350	0,536
0,4360	0,503
0,4370	0,473
0,4380	0,441
0,4390	0,412
0,4400	0,382
0,4410	0,353
0,4420	0,325
0,4430	0,298
0,4440	0,273
0,4450	0,250
0,4460	0,226
0,4470	0,203
0,4480	0,181
0,4490	0,160
0,4500	0,141
0,4510	0,123
0,4520	0,104
0,4530	0,088
0,4540	0,072
0,4550	0,058
0,4560	0,046
0,4570	0,035
0,4580	0,024
0,4590	0,016
0,4600	0,006
0,4610	0,000
0,4620	-0,006
0,4630	-0,011
0,4640	-0,014
0,4650	-0,016
0,4660	-0,016
0,4670	-0,016
0,4680	-0,016
0,4690	-0,014
0,4700	-0,011
0,4710	-0,006
0,4720	-0,002
0,4730	0,006
0,4740	0,014
0,4750	0,024
0,4760	0,036
0,4770	0,047
0,4780	0,060
0,4790	0,074
0,4800	0,090
0,4810	0,105
0,4820	0,123
0,4830	0,143
0,4840	0,162
0,4850	0,184
0,4860	0,204
0,4870	0,228
0,4880	0,251
0,4890	0,275
0,4900	0,300
0,4910	0,327
0,4920	0,355
0,4930	0,383
0,4940	0,412
0,4950	0,440
0,4960	0,470
0,4970	0,501
0,4980	0,534
