Winkelposition, Messreihe #3
Zeit ( s )	Winkelposition ( rad )
0,0000	-1,241
0,0010	-1,243
0,0020	-1,244
0,0030	-1,244
0,0040	-1,244
0,0050	-1,244
0,0060	-1,244
0,0070	-1,244
0,0080	-1,243
0,0090	-1,241
0,0100	-1,238
0,0110	-1,235
0,0120	-1,232
0,0130	-1,227
0,0140	-1,224
0,0150	-1,219
0,0160	-1,214
0,0170	-1,208
0,0180	-1,202
0,0190	-1,195
0,0200	-1,189
0,0210	-1,181
0,0220	-1,173
0,0230	-1,164
0,0240	-1,156
0,0250	-1,145
0,0260	-1,136
0,0270	-1,126
0,0280	-1,115
0,0290	-1,104
0,0300	-1,093
0,0310	-1,081
0,0320	-1,068
0,0330	-1,056
0,0340	-1,043
0,0350	-1,029
0,0360	-1,015
0,0370	-1,001
0,0380	-0,986
0,0390	-0,972
0,0400	-0,957
0,0410	-0,941
0,0420	-0,925
0,0430	-0,909
0,0440	-0,892
0,0450	-0,875
0,0460	-0,858
0,0470	-0,840
0,0480	-0,823
0,0490	-0,804
0,0500	-0,787
0,0510	-0,768
0,0520	-0,749
0,0530	-0,730
0,0540	-0,710
0,0550	-0,690
0,0560	-0,671
0,0570	-0,650
0,0580	-0,630
0,0590	-0,609
0,0600	-0,589
0,0610	-0,567
0,0620	-0,547
0,0630	-0,525
0,0640	-0,504
0,0650	-0,484
0,0660	-0,462
0,0670	-0,440
0,0680	-0,418
0,0690	-0,396
0,0700	-0,375
0,0710	-0,353
0,0720	-0,331
0,0730	-0,309
0,0740	-0,287
0,0750	-0,265
0,0760	-0,243
0,0770	-0,221
0,0780	-0,201
0,0790	-0,179
0,0800	-0,157
0,0810	-0,134
0,0820	-0,112
0,0830	-0,091
0,0840	-0,069
0,0850	-0,049
0,0860	-0,027
0,0870	-0,006
0,0880	0,014
0,0890	0,036
0,0900	0,057
0,0910	0,077
0,0920	0,097
0,0930	0,118
0,0940	0,137
0,0950	0,156
0,0960	0,176
0,0970	0,195
0,0980	0,214
0,0990	0,231
0,1000	0,250
